"Date","Close","Open","High","Low","Volume","Change %"
"22/09/2023","12,600.0","12,850.0","13,150.0","12,500.0","2.20M","-5.97%"
"21/09/2023","13,400.0","13,950.0","13,950.0","13,400.0","1.10M","-4.29%"
"20/09/2023","14,000.0","13,800.0","14,050.0","13,300.0","909.90K","2.94%"
"19/09/2023","13,600.0","13,150.0","13,600.0","12,700.0","1.24M","2.26%"
"18/09/2023","13,300.0","13,600.0","14,000.0","13,250.0","931.10K","-5.00%"
"15/09/2023","14,000.0","13,900.0","14,000.0","12,600.0","1.98M","3.70%"
"14/09/2023","13,500.0","14,250.0","14,700.0","13,500.0","2.38M","-6.90%"
"13/09/2023","14,500.0","14,800.0","14,900.0","13,900.0","2.25M","2.11%"
"12/09/2023","14,200.0","13,350.0","14,200.0","13,350.0","1.39M","6.77%"
"11/09/2023","13,300.0","13,550.0","14,700.0","13,300.0","2.33M","-5.67%"
"08/09/2023","14,100.0","15,600.0","15,950.0","14,100.0","4.33M","-6.93%"
"07/09/2023","15,150.0","14,300.0","15,200.0","14,300.0","2.35M","6.32%"
"06/09/2023","14,250.0","13,900.0","14,250.0","13,350.0","2.68M","6.74%"
"05/09/2023","13,350.0","13,250.0","13,350.0","12,900.0","2.42M","6.80%"
"31/08/2023","12,500.0","11,850.0","12,500.0","11,750.0","2.32M","6.84%"
"30/08/2023","11,700.0","11,800.0","12,000.0","11,400.0","732.50K","0.86%"
"29/08/2023","11,600.0","11,850.0","11,950.0","11,150.0","3.44M","3.57%"
"28/08/2023","11,200.0","10,800.0","11,200.0","10,550.0","500.00K","6.67%"
"25/08/2023","10,500.0","10,850.0","10,850.0","10,450.0","468.60K","-2.78%"
"24/08/2023","10,800.0","10,450.0","10,800.0","10,200.0","599.30K","3.35%"
"23/08/2023","10,450.0","10,850.0","10,850.0","10,400.0","723.60K","-0.48%"
"22/08/2023","10,500.0","10,250.0","10,500.0","9,700.0","1.07M","2.94%"
"21/08/2023","10,200.0","10,000.0","10,600.0","9,860.0","1.66M","-3.77%"
"18/08/2023","10,600.0","10,950.0","11,350.0","10,600.0","1.32M","-6.61%"
"17/08/2023","11,350.0","11,800.0","12,000.0","11,350.0","1.32M","-5.42%"
"16/08/2023","12,000.0","11,700.0","12,000.0","11,600.0","997.40K","0.84%"
"15/08/2023","11,900.0","12,200.0","12,450.0","11,500.0","973.50K","0.00%"
"14/08/2023","11,900.0","12,400.0","12,700.0","11,400.0","1.84M","0.00%"
"11/08/2023","11,900.0","11,300.0","11,900.0","11,200.0","2.59M","6.73%"
"10/08/2023","11,150.0","10,600.0","11,150.0","10,600.0","2.78M","6.70%"
"09/08/2023","10,450.0","10,300.0","10,750.0","10,300.0","1.03M","0.00%"
"08/08/2023","10,450.0","10,600.0","10,900.0","10,400.0","980.10K","-1.42%"
"07/08/2023","10,600.0","11,000.0","11,000.0","10,250.0","2.23M","-2.75%"
"04/08/2023","10,900.0","10,950.0","11,500.0","10,700.0","1.31M","-0.46%"
"03/08/2023","10,950.0","11,150.0","11,300.0","10,700.0","1.94M","2.34%"
"02/08/2023","10,700.0","9,800.0","10,700.0","9,800.0","1.61M","7.00%"
"01/08/2023","10,000.0","11,050.0","11,050.0","10,000.0","5.48M","-3.38%"
"31/07/2023","10,350.0","10,350.0","10,350.0","10,350.0","644.30K","6.92%"
"28/07/2023","9,680.0","9,200.0","9,680.0","9,160.0","1.95M","6.96%"
"27/07/2023","9,050.0","9,200.0","9,200.0","8,950.0","1.02M","-0.33%"
"26/07/2023","9,080.0","9,100.0","9,190.0","9,000.0","767.30K","-0.22%"
"25/07/2023","9,100.0","9,360.0","9,370.0","9,030.0","582.70K","-2.78%"
"24/07/2023","9,360.0","9,450.0","9,450.0","9,030.0","1.12M","3.65%"
"21/07/2023","9,030.0","8,940.0","9,090.0","8,800.0","624.80K","3.20%"
"20/07/2023","8,750.0","8,900.0","8,900.0","8,520.0","734.60K","-1.80%"
"19/07/2023","8,910.0","9,500.0","9,500.0","8,900.0","997.10K","-5.41%"
"18/07/2023","9,420.0","9,500.0","9,700.0","9,110.0","1.59M","3.40%"
"17/07/2023","9,110.0","8,890.0","9,110.0","8,600.0","961.00K","6.92%"
"14/07/2023","8,520.0","8,290.0","8,740.0","8,200.0","1.22M","3.65%"
"13/07/2023","8,220.0","8,200.0","8,350.0","8,110.0","706.60K","0.37%"
"12/07/2023","8,190.0","8,290.0","8,350.0","8,050.0","712.50K","-0.73%"
"11/07/2023","8,250.0","8,310.0","8,390.0","8,200.0","911.80K","0.00%"
"10/07/2023","8,250.0","8,050.0","8,400.0","8,050.0","862.20K","2.36%"
"07/07/2023","8,060.0","7,950.0","8,190.0","7,850.0","519.30K","-1.59%"
"06/07/2023","8,190.0","8,550.0","8,550.0","8,100.0","621.20K","-4.21%"
"05/07/2023","8,550.0","8,790.0","8,790.0","8,490.0","494.40K","0.00%"
"04/07/2023","8,550.0","8,290.0","8,700.0","8,260.0","796.90K","4.01%"
"03/07/2023","8,220.0","8,440.0","8,500.0","8,000.0","475.90K","-0.12%"
"30/06/2023","8,230.0","8,830.0","8,830.0","8,230.0","1.61M","-6.90%"
"29/06/2023","8,840.0","9,450.0","9,500.0","8,840.0","1.98M","-6.95%"
"28/06/2023","9,500.0","9,400.0","9,850.0","9,260.0","753.60K","1.06%"
"27/06/2023","9,400.0","9,400.0","9,900.0","9,400.0","2.83M","-6.93%"
"26/06/2023","10,100.0","10,400.0","10,400.0","10,100.0","420.10K","-6.91%"
"23/06/2023","10,850.0","10,700.0","10,850.0","10,050.0","2.36M","6.90%"
"22/06/2023","10,150.0","10,150.0","10,150.0","10,000.0","1.90M","6.62%"
"21/06/2023","9,520.0","9,190.0","9,520.0","8,950.0","977.50K","6.97%"
"20/06/2023","8,900.0","9,600.0","9,700.0","8,900.0","1.06M","-6.90%"
"19/06/2023","9,560.0","9,800.0","9,900.0","9,120.0","1.67M","-2.45%"
"16/06/2023","9,800.0","9,800.0","11,200.0","9,800.0","5.13M","-6.67%"
"15/06/2023","10,500.0","10,500.0","10,500.0","10,500.0","176.40K","-6.67%"
"14/06/2023","11,250.0","12,850.0","12,850.0","11,250.0","2.82M","-6.64%"
"13/06/2023","12,050.0","12,050.0","12,050.0","12,050.0","461.00K","6.64%"
"12/06/2023","11,300.0","11,300.0","11,300.0","11,300.0","417.50K","6.60%"
"09/06/2023","10,600.0","9,920.0","10,600.0","9,920.0","1.48M","6.85%"
"08/06/2023","9,920.0","9,920.0","9,920.0","9,710.0","1.91M","6.90%"
"07/06/2023","9,280.0","9,110.0","9,280.0","8,700.0","2.16M","6.91%"
"06/06/2023","8,680.0","8,680.0","8,680.0","8,400.0","3.96M","6.90%"
"05/06/2023","8,120.0","8,120.0","8,120.0","8,120.0","133.40K","6.98%"
"02/06/2023","7,590.0","7,590.0","7,590.0","7,590.0","147.80K","6.90%"
"01/06/2023","7,100.0","7,100.0","7,100.0","7,100.0","109.70K","6.93%"
"31/05/2023","6,640.0","6,640.0","6,640.0","6,640.0","107.80K","6.92%"
"30/05/2023","6,210.0","6,210.0","6,210.0","6,210.0","199.60K","6.88%"
"29/05/2023","5,810.0","5,810.0","5,810.0","5,710.0","650.70K","7.00%"
"26/05/2023","5,430.0","5,200.0","5,430.0","5,120.0","766.50K","6.89%"
"25/05/2023","5,080.0","5,080.0","5,200.0","5,070.0","286.90K","0.20%"
"24/05/2023","5,070.0","5,010.0","5,290.0","5,000.0","507.60K","1.40%"
"23/05/2023","5,000.0","5,180.0","5,180.0","4,960.0","205.50K","-0.99%"
"22/05/2023","5,050.0","4,870.0","5,050.0","4,850.0","135.50K","2.02%"
"19/05/2023","4,950.0","5,060.0","5,140.0","4,910.0","392.60K","-3.70%"
"18/05/2023","5,140.0","5,020.0","5,210.0","5,020.0","355.00K","2.19%"
"17/05/2023","5,030.0","4,750.0","5,030.0","4,750.0","623.50K","6.79%"
"16/05/2023","4,710.0","4,900.0","4,980.0","4,710.0","600.30K","-4.85%"
"15/05/2023","4,950.0","5,300.0","5,300.0","4,910.0","651.20K","-1.98%"
"12/05/2023","5,050.0","4,950.0","5,190.0","4,900.0","740.10K","2.85%"
"11/05/2023","4,910.0","4,910.0","4,910.0","4,620.0","1.32M","6.97%"
"10/05/2023","4,590.0","4,370.0","4,590.0","4,370.0","541.60K","6.99%"
"09/05/2023","4,290.0","4,270.0","4,390.0","4,270.0","204.30K","0.47%"
"08/05/2023","4,270.0","4,290.0","4,300.0","4,240.0","153.50K","0.47%"
"05/05/2023","4,250.0","4,060.0","4,300.0","4,060.0","447.40K","4.42%"
"04/05/2023","4,070.0","4,080.0","4,120.0","4,040.0","119.60K","-0.25%"
"28/04/2023","4,080.0","4,070.0","4,150.0","4,000.0","252.80K","0.25%"
"27/04/2023","4,070.0","4,090.0","4,120.0","4,060.0","135.30K","-0.49%"
"26/04/2023","4,090.0","4,020.0","4,120.0","4,020.0","52.10K","-0.24%"
"25/04/2023","4,100.0","4,100.0","4,200.0","4,030.0","70.50K","0.24%"
"24/04/2023","4,090.0","4,030.0","4,200.0","4,010.0","77.30K","2.00%"
"21/04/2023","4,010.0","4,160.0","4,170.0","4,000.0","263.70K","-3.61%"
"20/04/2023","4,160.0","4,160.0","4,200.0","4,120.0","80.80K","0.00%"
"19/04/2023","4,160.0","4,270.0","4,270.0","4,150.0","158.60K","-0.72%"
"18/04/2023","4,190.0","4,160.0","4,200.0","4,140.0","174.00K","0.24%"
"17/04/2023","4,180.0","4,210.0","4,210.0","4,100.0","112.20K","-0.71%"
"14/04/2023","4,210.0","4,200.0","4,350.0","4,200.0","192.00K","-2.09%"
"13/04/2023","4,300.0","4,390.0","4,420.0","4,230.0","138.10K","-2.05%"
"12/04/2023","4,390.0","4,400.0","4,550.0","4,360.0","240.50K","-0.23%"
